rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/n_updates,train/loss,train/value_loss
71.46,207,4.748999999999999,188416,92,910,0.2,0.00893784,0.080224609375,-0.008174125650839414,0.2599714398384094,0.0003,-0.9602054951712489,910,15.90046215057373,36.782543218135835
69.68,209,4.736000000000001,190464,93,909,0.2,0.0040280176,0.071875,-0.0072736974572762845,0.2654927372932434,0.0003,-0.8927408650517463,920,18.36720085144043,39.594643944501875
68.38,211,5.115999999999999,192512,94,908,0.2,0.009541934,0.057763671875,-0.007690025662304834,0.33103716373443604,0.0003,-0.9232537066563964,930,15.771747589111328,33.22132722139359
65.78,214,6.343999999999999,194560,95,906,0.2,0.009715012,0.088134765625,-0.009255108229990584,0.33314549922943115,0.0003,-0.9564310785382986,940,15.195991516113281,34.29295392632484
64.22,217,7.325999999999999,196608,96,905,0.2,0.007288044,0.0802734375,-0.007898616908641997,0.3152729868888855,0.0003,-0.8466355971992016,950,13.409022331237793,31.19825945496559
61.07,220,9.362,198656,97,902,0.2,0.008164661,0.0939453125,-0.01154083128349157,0.44167035818099976,0.0003,-0.9182502366602421,960,17.68817710876465,32.67854490876198
63.95,222,7.936,200704,98,901,0.2,0.0069472375,0.07724609375,-0.00736179099912988,0.3909677267074585,0.0003,-0.9064396588131786,970,11.396149635314941,31.31864783167839
62.45,225,9.484000000000002,202752,99,899,0.2,0.008510298,0.076611328125,-0.008327784357243217,0.3682764768600464,0.0003,-0.8957042748108506,980,13.024238586425781,28.303319811820984
63.21,228,9.274,204800,100,897,0.2,0.0080738375,0.09765625,-0.010735902705346235,0.30424678325653076,0.0003,-0.9089534299448132,990,13.023517608642578,26.80910672545433
62.6,230,9.757,206848,101,895,0.2,0.0063415654,0.07197265625,-0.00908535091293743,0.35693174600601196,0.0003,-0.8919752148911357,1000,17.859365463256836,31.552341002225877
58.12,233,11.644999999999998,208896,102,893,0.2,0.0065875594,0.0490234375,-0.006012665550224483,0.4454631805419922,0.0003,-0.8831196142360568,1010,13.97386360168457,32.488031297922134
54.82,236,13.499999999999998,210944,103,891,0.2,0.00948455,0.0919921875,-0.01078935837285826,0.28840428590774536,0.0003,-0.8191813986748457,1020,13.799049377441406,26.677083736658098
57.03,239,12.099999999999998,212992,104,889,0.2,0.0078124595,0.066015625,-0.005681543241371401,0.4220759868621826,0.0003,-0.8875398168340325,1030,13.511260986328125,26.021800816059113
61.17,242,9.626,215040,105,887,0.2,0.007496998,0.05732421875,-0.006962041497899918,0.4873443841934204,0.0003,-0.8687300864607096,1040,11.573646545410156,27.555276691913605
63.01,245,8.321,217088,106,885,0.2,0.008493368,0.1017578125,-0.009192000795155763,0.5226807594299316,0.0003,-0.8604373279958963,1050,12.681774139404297,25.900808861851694
58.63,247,10.454999999999998,219136,107,884,0.2,0.0072901887,0.0748046875,-0.00578895283251768,0.3600766062736511,0.0003,-0.8782352823764086,1060,11.410820960998535,30.756445825099945
59.21,250,10.988999999999999,221184,108,882,0.2,0.0073497994,0.04892578125,-0.007120549441606272,0.24471867084503174,0.0003,-0.8000082915648818,1070,10.652212142944336,29.50498471856117
56.52,253,12.849999999999998,223232,109,881,0.2,0.007439207,0.074072265625,-0.009666051468229853,0.4308292865753174,0.0003,-0.852965215779841,1080,11.382481575012207,27.158613884449004
59.94,255,10.808,225280,110,880,0.2,0.006236896,0.069140625,-0.008298198119882727,0.44023287296295166,0.0003,-0.8555353220552206,1090,10.678545951843262,26.460735523700713
61.37,258,9.660000000000002,227328,111,880,0.2,0.004618026,0.03564453125,-0.004123262174834963,0.5224652290344238,0.0003,-0.8689436551183463,1100,13.001032829284668,27.864061105251313
59.48,260,10.559,229376,112,880,0.2,0.0064195264,0.07587890625,-0.009314069406536873,0.49801188707351685,0.0003,-0.8800987467169762,1110,23.538684844970703,33.579676640033725
53.78,263,13.889000000000001,231424,113,879,0.2,0.0062244153,0.0744140625,-0.007963283658318688,0.4056456685066223,0.0003,-0.8314667034894228,1120,17.034774780273438,30.707320672273635
52.34,265,14.698000000000002,233472,114,878,0.2,0.007725875,0.087255859375,-0.007645202225830872,0.4697169065475464,0.0003,-0.8380070315673948,1130,13.127828598022461,25.670110630989075
48.19,268,16.585,235520,115,876,0.2,0.007393397,0.058642578125,-0.008084983003209345,0.4368947744369507,0.0003,-0.783543149381876,1140,9.884584426879883,25.862302190065385
50.76,271,15.248000000000001,237568,116,875,0.2,0.005322352,0.05087890625,-0.0070158051312319,0.45063215494155884,0.0003,-0.7676282843574882,1150,12.003180503845215,23.0681931078434
51.73,274,14.912,239616,117,874,0.2,0.008857182,0.097119140625,-0.008999541656521615,0.4803352952003479,0.0003,-0.8324568072333932,1160,11.402167320251465,25.286398217082024
50.73,276,15.232000000000001,241664,118,873,0.2,0.006360273,0.051904296875,-0.006005300785182044,0.47028297185897827,0.0003,-0.7294776348397136,1170,9.999574661254883,22.733565750718117
48.77,279,15.867,243712,119,871,0.2,0.005776574,0.089111328125,-0.009444921941030771,0.5846296548843384,0.0003,-0.7897090623155236,1180,12.905961036682129,24.023905435204504
