timesteps,stage_timesteps,reward_mean,episode_len_mean,stage,reward_smooth,episode_len_smooth
549152.0,49152.0,33.884,113.57,Curriculum 8x8,32.16444444444445,116.18444444444445
551200.0,51200.0,35.985,109.27,Curriculum 8x8,32.279555555555554,116.13333333333334
553248.0,53248.0,39.285,102.28,Curriculum 8x8,32.68477777777778,115.33444444444444
555296.0,55296.0,37.73400000000001,105.42,Curriculum 8x8,33.08577777777778,114.6211111111111
557344.0,57344.0,40.010000000000005,100.7,Curriculum 8x8,33.90188888888889,113.05222222222223
559392.0,59392.0,40.136,100.13,Curriculum 8x8,35.023555555555554,110.80555555555556
561440.0,61440.0,40.67999999999999,98.67,Curriculum 8x8,36.43955555555556,107.89777777777778
563488.0,63488.0,39.068000000000005,102.38,Curriculum 8x8,37.38744444444444,105.96999999999998
565536.0,65536.0,39.192,101.22,Curriculum 8x8,38.44155555555555,103.73777777777778
567584.0,67584.0,34.117000000000004,111.26,Curriculum 8x8,38.467444444444446,103.4811111111111
569632.0,69632.0,35.099,108.92,Curriculum 8x8,38.369,103.44222222222223
571680.0,71680.0,34.668,110.09,Curriculum 8x8,37.856,104.31
573728.0,73728.0,33.99100000000001,111.03,Curriculum 8x8,37.440111111111115,104.93333333333334
575776.0,75776.0,32.122,115.07,Curriculum 8x8,36.56366666666666,106.53
577824.0,77824.0,37.373,105.47,Curriculum 8x8,36.25666666666667,107.12333333333333
579872.0,79872.0,36.945,105.3,Curriculum 8x8,35.84166666666667,107.86
581920.0,81920.0,36.99699999999999,103.86,Curriculum 8x8,35.611555555555555,108.02444444444444
583968.0,83968.0,36.711000000000006,104.83,Curriculum 8x8,35.33588888888889,108.42555555555556
586016.0,86016.0,36.38,105.05,Curriculum 8x8,35.58733333333333,107.73555555555555
588064.0,88064.0,34.908,108.46,Curriculum 8x8,35.56611111111111,107.68444444444444
590112.0,90112.0,31.016000000000005,116.95,Curriculum 8x8,35.160333333333334,108.44666666666666
592160.0,92160.0,31.886,116.57,Curriculum 8x8,34.92644444444445,109.06222222222222
594208.0,94208.0,32.175,116.48,Curriculum 8x8,34.93233333333333,109.2188888888889
596256.0,96256.0,34.193,112.38,Curriculum 8x8,34.579,109.98666666666666
598304.0,98304.0,34.273,112.42,Curriculum 8x8,34.282111111111114,110.77777777777777
600352.0,100352.0,36.322,107.22,Curriculum 8x8,34.20711111111112,111.1511111111111
602400.0,102400.0,40.107,99.54,Curriculum 8x8,34.58444444444444,110.56333333333333
604448.0,104448.0,41.084,97.74,Curriculum 8x8,35.10711111111111,109.75111111111111
606496.0,106496.0,42.362,94.58,Curriculum 8x8,35.93533333333333,108.2088888888889
608544.0,108544.0,41.399,96.18,Curriculum 8x8,37.089000000000006,105.9011111111111
610592.0,110592.0,40.049,99.96,Curriculum 8x8,37.996,104.05555555555556
612640.0,112640.0,39.886,100.09,Curriculum 8x8,38.85277777777778,102.23444444444445
614688.0,114688.0,38.19200000000001,103.0,Curriculum 8x8,39.297111111111114,101.19222222222223
616736.0,116736.0,36.458000000000006,106.86,Curriculum 8x8,39.53988888888889,100.57444444444445
618784.0,118784.0,37.415000000000006,105.57,Curriculum 8x8,39.66133333333333,100.39111111111112
620832.0,120832.0,39.974,100.3,Curriculum 8x8,39.64655555555556,100.47555555555556
622880.0,122880.0,39.815,100.98,Curriculum 8x8,39.50555555555556,100.83555555555556
624928.0,124928.0,40.098,101.21,Curriculum 8x8,39.254,101.57222222222222
626976.0,126976.0,39.13399999999999,103.24,Curriculum 8x8,39.00233333333333,102.35666666666667
629024.0,129024.0,37.283,107.33,Curriculum 8x8,38.695,103.17555555555555
631072.0,131072.0,35.025,111.89,Curriculum 8x8,38.15488888888889,104.48666666666665
633120.0,133120.0,32.262,118.31,Curriculum 8x8,37.496,106.18777777777777
635168.0,135168.0,32.95899999999999,117.0,Curriculum 8x8,37.10722222222223,107.31444444444443
637216.0,137216.0,35.176,112.47,Curriculum 8x8,36.858444444444444,108.08111111111111
